transaction_amount,transaction_hour,transaction_frequency,unusual_location,account_age_days,login_frequency,support_contacts,notifications_opted_out,payment_method_credit_card,payment_method_mobile_payment
-0.4182104919096349,0.014721268030921325,-0.11034412674883116,0,0.9081358935149672,-1.3790268001473234,0.713519249266995,1,1,0
-0.3296149750396073,-0.3035764191241366,-0.37623358879420765,0,-0.7697018772605412,-1.3790268001473234,2.554621685770659,0,1,0
-0.41851573387967334,1.4470608602286819,-0.553493230157792,0,-0.2670182472442291,-0.6394219829059505,-0.3911422126352035,0,0,0
-0.19956928779630892,-0.14442757554660762,-0.4648634094759998,1,1.1094001172975891,1.0414980562789875,-0.3911422126352035,0,0,1
-0.059800796335617946,-1.895064854899426,0.8645839007508827,0,1.463281761958029,-0.7066587844733481,-0.3911422126352035,1,1,0
2.068908460656859,-1.7359160113218972,1.130473362796259,1,0.16031053121366043,-1.1100795938777333,2.554621685770659,0,0,0
-0.6094083826412703,1.6062097038062109,-0.7307528715213762,0,0.19560330979165577,0.1001828343354222,-0.3911422126352035,0,1,0
-0.29534502898112974,-0.9401717934342524,-0.19897394743062333,0,1.1971551343023343,0.1001828343354222,-0.7593626999359363,0,1,0
-0.26879163696818786,1.6062097038062109,-0.19897394743062333,0,-0.7553939940532458,-0.2360011735015654,-0.7593626999359363,1,0,0
-0.6150678287923288,1.2879120166511528,-0.8193826922031685,0,-0.0018454784690208855,-1.1773163954451307,1.0817397365677277,1,0,0
0.061778352556346186,-1.4176183241668392,3.3462188798410635,0,-1.3754022663693801,-0.9756059907429382,1.0817397365677277,0,0,1
-0.2357574747351555,0.6513166423410371,-0.19897394743062333,0,-0.1830786657614294,-1.1100795938777333,1.8181807111691932,0,0,1
-0.38019339879108865,1.128763173073624,-0.11034412674883116,0,0.7526568959956903,1.0414980562789875,-0.3911422126352035,0,0,1
-0.44787930909874,0.33301895518597924,-0.19897394743062333,1,0.4083138401401142,0.16741963590281972,-0.3911422126352035,0,1,0
-0.28848053635598475,0.810465485918566,-0.553493230157792,1,-1.110229497594172,0.5036036437398074,-0.3911422126352035,0,0,0
1.1374235972289075,-1.2584694805893102,2.9030697764321025,1,-1.7121144511810655,1.6466292703855652,-0.7593626999359363,0,1,0
1.4012243699972147,-1.0993206370117814,0.510064618023714,0,0.9424748132124761,-1.3790268001473234,1.4499602238684606,0,1,0
-0.479790776157334,0.33301895518597924,-0.2876037681124155,0,1.3659881561484202,-1.3117899985799257,2.554621685770659,1,0,0
3.373809013530325,-1.0993206370117814,3.080329417795687,1,-1.6167285631324293,0.8397876515767949,-0.7593626999359363,1,1,0
-0.19745575306429233,-0.7810229498567234,-0.4648634094759998,0,-1.0634904124503402,-1.3117899985799257,2.1864011984699263,1,1,0
-0.28448583421700596,0.6513166423410371,-0.19897394743062333,0,1.2973103167534024,-0.2360011735015654,-0.3911422126352035,0,1,0
-0.4870927414974952,0.4921677987635082,-0.4648634094759998,0,-0.6056381498168871,-0.2360011735015654,-0.3911422126352035,0,0,1
1.4120711598135098,-1.0993206370117814,2.1940312109777653,1,0.2452039715769465,-1.0428427923103356,1.0817397365677277,0,1,0
-0.35137620664297736,0.969614329496095,-0.2876037681124155,0,0.9787214506709578,0.6380772468746024,-0.3911422126352035,0,0,0
-0.41836636532247434,0.810465485918566,-0.11034412674883116,0,0.4684069496107549,0.5036036437398074,-0.7593626999359363,0,1,0
-0.4967323877475554,-0.7810229498567234,-0.37623358879420765,0,-1.0510902470040175,-0.9083691891755407,0.34529876196626214,1,1,0
-0.44727883120244977,1.6062097038062109,-0.02171430606703901,0,-0.45874388222198764,0.7053140484419999,-0.3911422126352035,0,0,1
-0.5324617371253147,0.014721268030921325,-0.8193826922031685,0,0.7192718351786678,0.3691300406050123,-0.7593626999359363,0,0,0
-0.2650826748820665,0.4921677987635082,-0.6421230508395841,0,-0.9337656047041952,-1.3117899985799257,2.554621685770659,1,0,1
-0.3536223727741853,-0.9401717934342524,-0.2876037681124155,0,0.9634597085831761,-1.1100795938777333,0.34529876196626214,1,1,0
-0.49757421251974093,0.4921677987635082,-0.7307528715213762,0,-0.2736952594076337,1.24320846098118,-0.7593626999359363,0,0,1
-0.5403982217650848,1.6062097038062109,-0.553493230157792,0,0.7984421222590357,1.24320846098118,-0.3911422126352035,0,1,0
-0.43385725165211225,0.014721268030921325,-0.8193826922031685,0,-1.3277093223450622,-0.10152757036677036,-0.3911422126352035,0,0,1
-0.2719023721260041,1.2879120166511528,-0.37623358879420765,0,1.1532776257999617,-1.4462636017147208,2.1864011984699263,1,0,0
-0.24804230060528584,-0.14442757554660762,-0.8193826922031685,0,-1.2494928941451806,1.3104452625485776,-0.7593626999359363,0,0,0
-0.37411133819204306,-0.6218741062791945,-0.37623358879420765,0,-1.3897101495766755,1.7811028735203602,-0.3911422126352035,0,1,0
-0.6151548415917529,0.810465485918566,-0.8193826922031685,0,0.9939831927587396,0.5708404453072049,-0.7593626999359363,0,0,0
-0.3665515205525624,1.6062097038062109,-0.553493230157792,0,-0.21550986769796565,-0.437711578203758,-0.7593626999359363,0,0,1
-0.3970811167774926,1.128763173073624,-0.02171430606703901,0,0.7927189689761175,-0.7738955860407456,-0.3911422126352035,0,0,1
-0.2798090295558292,1.128763173073624,-0.7307528715213762,0,-0.012337926154370852,1.7811028735203602,-0.3911422126352035,0,0,1
-0.24934278377426322,0.4921677987635082,-0.6421230508395841,0,0.6172089349666271,-1.2445531970125283,1.4499602238684606,1,0,1
-0.24032126161857764,0.810465485918566,-0.553493230157792,0,0.7412105894298541,-0.9756059907429382,2.554621685770659,1,0,0
-0.4649700442313703,0.6513166423410371,-0.02171430606703901,0,0.6343783948153816,0.8397876515767949,-0.3911422126352035,0,1,0
-0.5461815010933939,0.014721268030921325,-0.19897394743062333,0,1.0683841854366758,-1.2445531970125283,2.1864011984699263,1,0,0
0.06963402739312144,-1.2584694805893102,3.3462188798410635,1,-1.5804819256739477,-0.2360011735015654,-0.3911422126352035,0,1,0
-0.3596727233246578,1.4470608602286819,-0.7307528715213762,0,0.762195484800554,0.9070244531441924,-0.7593626999359363,0,0,0
0.31302746371998513,-1.2584694805893102,0.4214347973419218,0,-1.2886011082451214,-0.37047477663636047,-0.3911422126352035,0,0,1
-0.21581021312037912,0.17387011160845028,-0.37623358879420765,0,-1.3305708989865213,-1.0428427923103356,1.0817397365677277,0,0,0
-0.22623361863299005,0.4921677987635082,-0.11034412674883116,0,0.23661924165256926,-1.2445531970125283,2.554621685770659,1,0,0
3.5112688971476973,-1.4176183241668392,3.1689592384774787,0,-1.5299274050081706,-1.1773163954451307,2.554621685770659,0,0,1
-0.5921945986732167,1.4470608602286819,-0.19897394743062333,0,-0.3624041352928652,0.9070244531441924,-0.3911422126352035,0,1,0
-0.5314070055892011,-0.9401717934342524,-0.7307528715213762,0,0.8432734896418946,-0.6394219829059505,-0.3911422126352035,0,0,0
-0.324726872706769,-0.3035764191241366,-0.02171430606703901,0,-1.023428339469913,-1.4462636017147208,0.34529876196626214,0,0,1
-0.6028677323991036,-0.9401717934342524,-0.4648634094759998,0,-1.139799122889249,-0.7738955860407456,-0.3911422126352035,0,0,0
2.9772220055261167,-1.5767671677443682,1.2191031834780512,0,1.2419865016851934,-1.3790268001473234,0.713519249266995,1,0,0
-0.43262914689109755,0.6513166423410371,-0.02171430606703901,0,-1.4936807675496888,-0.30323797506896294,-0.7593626999359363,1,0,0
-0.2228356161667667,0.014721268030921325,-0.11034412674883116,0,-1.4135566215888347,0.7053140484419999,-0.3911422126352035,0,0,0
-0.24446727355104372,1.2879120166511528,-0.6421230508395841,0,1.5500829200822879,0.5036036437398074,-0.7593626999359363,0,1,0
-0.40533527253075874,0.6513166423410371,-0.02171430606703901,0,-0.05526157577625708,0.43636684217240984,-0.3911422126352035,0,0,0
